card numbers for sorting ([suit sort number]-[suit] [box number] [card number]),Box,Deck,Suit,Name,Traits,Text,Skills,Points
"01-Person 01 01
01-Person 02 01","Core Box
To Boldly Go",Market,Person,Admiral Jarok,Romulan,"Play - Action, Requires 3 Military: Your opponent may draw a card. Enlist a Development.
---
Reaction - After you are attacked, gain 1 Glory. Then, you may log a card fro your hand or Discard pile.
---
Passive - You cannot play or promote cards with Attack. You may have an additional Person with Starfleet on duty.",-,1.0
01-Person 01 02,Core Box,Market,Person,Admiral Necheyev,"Starfleet
Human","Play - Action: You may warp a Ship. You may free play a Directive from your hand or your Discard pile. Up to 3 times: beam a card to a Ship
---
Resupply - Draw a card for each Ops you have in play (max 3).
---
Activation - Spend 1 Dilithium to warp any number of your Ship.",-,Influence
01-Person 01 03,Core Box,Market,Person,Admiral Pressman,"Starfleet
Human
Shady","Play - Free: Free play an Attack. If you have no Duty Officer, you may promote a Person to Duty Officer from your hand or Discard pile.
---
Resupply - Draw a card for each Security you have in play (max 3).
---
Activation - Dismiss a Cloak you have in play to log this card and gain 3 Glory.",-,Military
01-Person 01 04,Core Box,Market,Person,Ambassador Kamarag,"Ambassador
Imperial
Klingon","Play - Action: Spend 2 Dilithium to gain 1 Military and you may scan for either a Klingon or a Starfleet.
---
Reaction - After your opponent takes control of a Location, return an Incident from you hand or Discard pile.",-,1.0
01-Person 01 05,Core Box,Market,Person,B-4,"Synthetic
Android
Attack","Play - Action: Gain a Cargo from the Junk.
---
Play - Action: Take an Incident to scan for a Synthetic, including from the Junk.
---
Activation - Attack: Log a card from you hand. If you do, your opponent takes an Incident and you gain 1 Dilithium for every 2 cards in your Log (rounded down).",-,1.0
01-Person 01 06,Core Box,Market,Person,Bruce Maddox,"Scientist
Starfleet
Engineer
Human","Play - Free: Find and free play a Synthetic.
---
Reaction - After putting an Android into play, draw a card and gain 2 Glory.",Research,Research
01-Person 01 07,Core Box,Market,Person,Captain Dorg,"Klingon
Attack
Shady","Play - Action: Discard a card. If the Discarded card is a Weapon, gain a Ship. If it has Influence Skill, Points, Military Skill, Points, gain 2 Glory.
---
Reaction - After putting a Shady into play, dismiss a Klingon (can be this card) to gain an Action.
---
Reaction - Attack: After putting a Klingon or Pakled into play, remove up to 2 opponent Away Teams from the same Location. Gain 1 Glory for each Away Team removed this way.",-,Military
"01-Person 01 08
01-Person 02 06","Core Box
To Boldly Go",Market,Person,Harry Mudd,"Time Travel
Attack
Human
Shady","Play - Action, Attack, Requires 3 Influence: Force you opponent to log a Person from their hand or Discard pile. If they do, they may draw a card. If they cannot, they take an Incident. You may promote this card to Duty Officer.
---
Activation - Dismiss this card to recall a non-Time Travel card from your Staging Area.",-,1.0
01-Person 01 09,Core Box,Market,Person,Joret Dal,"Cardassian
Starfleet
Spy","Play - Action: You may put a Person on the top of you deck to send an Away Team to a Location. You may log a Person from your hand or Discard pile. If you do both, gain 1 Glory and you may promote this card to Duty Officer.
---
Passive - Increase you hand size by 1.",-,1.0
01-Person 01 10,Core Box,Market,Person,Laas,Changeling,"Play - Free: Put a Person into your Staging Area (without triggering their play operation) to duplicate a play operation of a Person or Cargo from the Market or Discard pile.
---
Activation - Spend 1 Dilithium to find a card in your Draw deck.",-,1.0
01-Person 01 11,Core Box,Market,Person,Laris,Romulan,"Play - Free: Spend 1 Dilithium to gain 1 Research or Influence. If you have an Android in play, draw 2 cards.
---
Resupply - Duplicate a Resupply operation you have already resolved this turn.
---
Activation - Spend 2 Dilithium or 1 Latinum to refrest a Captain, Cargo, Ship, or Location.",-,1.0
01-Person 01 12,Core Box,Market,Person,Lenara Khan,"Scientist
Trill","Play - Action: You may spend 1 Dilithium to gain 2 Research. You may take an Incident to scan for an Anomaly.
---
Activation - Spend 1 Latinum to gain 1 Glory for each Anomaly you have in play (max 3). Dismiss this card.",-,Research
"01-Person 01 13
01-Person 02 10","Core Box
To Boldly Go",Market,Person,Lursa,"Klingon
Shady","Play - Action: Gain 1 Latinum. You may beam this card to a Ship to send an Away Team to its Location. You may spend 1 Dilithium and take an Incident to gain a ship.
---
Activation - Discard a card to draw a card. If the discarded card is a Romulan, gain 1 Military. If it is a Business, gain 1 Latinum. If it has both traits, gain both rewards.",-,Military
01-Person 01 14,Core Box,Market,Person,Lwaxana Troi,"Ambassador
Betazoid
Telepath","Play - Free: Refresh your Captain or your Duty Officer.
---
Play - Action: Spend 1 Latinum to gain 2 Influence.
---
Reaction - Requires 6 Influence: After putting a Person into play, draw a card.",-,1.0
01-Person 01 15,Core Box,Market,Person,Mirok,"Scientist
Romulan
Attack","Play - Free, Attack: You may log a Cloak from your hand or from play to force your opponent to log a Ship from their Discard pile. If they do, gain 1 Glory. If they cannot, they take an Incident. You may promote this card to Duty Officer.
---
Reaction - After putting a Cargo into play, draw a card.",-,Research
01-Person 01 16,Core Box,Market,Person,Moriarty,"Synthetic
Hologram
Attack
Shady","Play - Free, Attack, Requires 5 Research: You may spend 2 Dilithium to scan for either a Hologram or an Engineer. Force your opponent to discard 2 cards.
---
Reaction - After putting  Synthetic into play, gain 1 Glory. After putting a Hologram into play, draw a card. If the card you pu into play has both traits, gain both rewards.",-,1.0
01-Person 01 17,Core Box,Market,Person,Peanut Hamper,Synthetic,"Play - Free: Spend 2 Dilithium to scan 1 of Cargo.
---
Play - Free: Gain 3 Dilithium. You may recall your Duty Officer. Promote this card to Duty Officer.
---
Resupply - Gain 1 Glory.
---
Passive - After you are attacked, put this card on the top of your deck.
---
Reaction - After putting a Shady into play, put this card on the top of your deck and gain 1 Latinum.",-,1.0
"01-Person 01 18
01-Person 02 14","Core Box
To Boldly Go",Market,Person,Phlox,"Doctor
NX-01","Play - Action: Return an Incident from your hand.
---
Play - Action, Requires 6 Research: Return any number of Incidents from your hand. You may teturn an Incident from your Discard Pile. Beam this card to a deployed Ship, if able.
---
Reaction - After sending an Away Team to a neutral Location, spend 1 Dilithium to gain 1 Research.",-,1.0
"01-Person 01 19
01-Person 02 16","Core Box
To Boldly Go",Market,Person,Riva,"Communication
Ambassador
Telepath","Play - Free: Draw a card. You may log an Attack from your hand or Discard pile to gain 1 Glory.
---
Reaction - When you would be attacked, discard a card to ignore the negative effect. Gain 1 Glory for each trait the discarded card shares with Riva.",Influence,Influence
"01-Person 01 20
01-Person 02 17","Core Box
To Boldly Go",Market,Person,Rom,"Engineer
Ferengi","Play - Action: You may spend 1 Latinum to scan 2 of Cargo. You may spend 1 Latinum to free play a Cargo from your hand or Discard pile.
---
Reaction - After gaining Latinum, you may draw a card from your Draw deck and/or a card from your Discard pile.",-,1.0
